Code,Description,Category,Source
B1245,Wiper Rear Motor Run Relay Circuit Short to Battery,Body,OBD-II Standard
B1246,DimPanel Potentiometer Switch Circuit Failure,Body,OBD-II Standard
B1247,Panel Dim Switch Circuit Open,Body,OBD-II Standard
B1248,Passenger's Seatback Autoglide Rearward Switch Circuit Short,Body,OBD-II Standard
B1249,Blend Door Failure,Body,OBD-II Standard
B1250,Air Temperature Internal Sensor Circuit Failure,Body,OBD-II Standard
B1251,Air Temperature Internal Sensor Circuit Open,Body,OBD-II Standard
B1252,Air Temperature Internal Sensor Circuit Short To Battery,Body,OBD-II Standard
B1253,Air Temperature Internal Sensor Circuit Short To Ground,Body,OBD-II Standard
B1254,Air Temperature External Sensor Circuit Failure,Body,OBD-II Standard
B1255,Air Temperatu re External Sensor Circuit Open,Body,OBD-II Standard
B1256,Air Temperature External Sensor Circuit Short To Battery,Body,OBD-II Standard
B1257,Air Temperature External Sensor Circuit Short To Ground,Body,OBD-II Standard
B1258,Solar Radiation Sensor Circuit Failure,Body,OBD-II Standard
B1259,Solar Radiation Sensor Circuit Open,Body,OBD-II Standard
B1260,Solar Radiation Sensor Circuit Short To Battery,Body,OBD-II Standard
B1261,Solar Radiation Sensor Circuit Short To Ground,Body,OBD-II Standard
B1262,Servo Motor Defrost Circuit Failure,Body,OBD-II Standard
B1263,Servo Motor Vent Circuit Failure,Body,OBD-II Standard
B1264,Servo Motor Foot Circuit Failure,Body,OBD-II Standard
B1265,Servo Motor Coolair Bypass Circuit Failure,Body,OBD-II Standard
B1266,Servo Motor Airintake Left Circuit Failure,Body,OBD-II Standard
B1267,Servo Motor Airintake Right Circuit Failure,Body,OBD-II Standard
B1268,Servo Motor Potentiometer Defrost Circuit Failure,Body,OBD-II Standard
B1269,Servo Motor Potentiometer Defrost Circuit Ope n,Body,OBD-II Standard
B1270,Servo Motor Potentiometer Defrost Circuit Short To Battery,Body,OBD-II Standard
B1271,Servo Motor Potentiometer Defrost Circuit Short To Ground,Body,OBD-II Standard
B1272,Servo Motor Potentiometer Vent Circuit Failure,Body,OBD-II Standard
B1273,Servo Motor Potentiometer Vent Circuit Open,Body,OBD-II Standard
B1274,Servo Motor Potentiometer Vent Circuit Short To Battery,Body,OBD-II Standard
B1275,Servo Motor Potentiometer Vent Circuit Short To Ground,Body,OBD-II Standard
B1276,Servo Motor Potentiometer Foot Circuit Failure,Body,OBD-II Standard
B1277,Servo Motor Potentiometer Foot Circuit Open,Body,OBD-II Standard
B1278,Servo Motor Potenti ometer Foot Circuit Short To Battery,Body,OBD-II Standard
B1279,Servo Motor Potentiometer Foot Circuit Short To Ground,Body,OBD-II Standard
B1280,Servo Motor Potentiometer Coolair Circuit Failure,Body,OBD-II Standard
B1281,Servo Motor Potentiometer Coolair Circuit Open,Body,OBD-II Standard
B1282,Servo Motor Potentiometer Coola ir Circuit Short To Battery,Body,OBD-II Standard
B1283,Servo Motor Potentiometer Coolair Circuit Short To Ground,Body,OBD-II Standard
B1284,Servo Motor Potentiometer Airintake Left Circuit Failure,Body,OBD-II Standard
B1285,Servo Motor Potentiometer Airintake Left Circuit Open,Body,OBD-II Standard
B1286,Servo Motor Potentiomet er Airintake Left Circuit Short To,Body,OBD-II Standard
B1287,Servo Motor Potentiometer Airintake Left Circuit Short To,Body,OBD-II Standard
B1288,Servo Motor Potentiometer Airintake Right Circuit Failure,Body,OBD-II Standard
B1289,Servo Motor Potentiometer Airintake Right Circuit Open,Body,OBD-II Standard
B1290,Servo Motor Potentiometer Airintake Right Circuit Short To,Body,OBD-II Standard
B1291,Servo Motor Potentiometer Airintake Right Circuit Short To,Body,OBD-II Standard
B1292,Battery Power Relay Circuit Failure,Body,OBD-II Standard
B1293,Battery Power Relay Circuit Open,Body,OBD-II Standard
B1294,Battery Power Rel ay Circuit Short To Battery,Body,OBD-II Standard
B1295,Battery Power Relay Circuit Short To Ground,Body,OBD-II Standard
B1296,Power Supply Sensor Circuit Failure,Body,OBD-II Standard
B1297,Power Supply Sensor Circuit Open,Body,OBD-II Standard
B1298,Power Supply Sensor Circuit Short To Battery,Body,OBD-II Standard
B1299,Power Supply Sensor Circu it Short To Ground,Body,OBD-II Standard
B1300,Power Door Lock Circuit Failure,Body,OBD-II Standard
B1301,Power Door Lock Circuit Open,Body,OBD-II Standard
B1302,Accessory Delay Relay Coil Circuit Failure,Body,OBD-II Standard
B1303,Accessory Delay Relay Coil Circuit Open,Body,OBD-II Standard
B1304,Accessory Delay Relay Coil Circuit Short To Batt ery,Body,OBD-II Standard
B1305,Accessory Delay Relay Coil Circuit Short To Ground,Body,OBD-II Standard
B1306,Oil Level Switch Circuit Open,Body,OBD-II Standard
B1307,Oil Level Switch Circuit Short To Battery,Body,OBD-II Standard
B1308,Oil Level Switch Circuit Short To Ground,Body,OBD-II Standard
B1309,Power Door Lock Circuit Short To Ground,Body,OBD-II Standard
B1310,Power Door Unlock Circuit Failure,Body,OBD-II Standard
B1311,Power Door Unlock Circuit Open,Body,OBD-II Standard
B1312,Lamp Headlamp Input Circuit Short To Battery,Body,OBD-II Standard
B1313,Battery Saver Relay Coil Circuit Failure,Body,OBD-II Standard
B1314,Battery Saver Relay Coil Circuit Open,Body,OBD-II Standard
B1315,Battery Saver Re lay Coil Circuit Short To Battery,Body,OBD-II Standard
B1316,Battery Saver Relay Coil Circuit Short To Ground,Body,OBD-II Standard
B1317,Battery Voltage High,Body,OBD-II Standard
B1318,Battery Voltage Low,Body,OBD-II Standard
B1319,Driver Door Ajar Circuit Failure,Body,OBD-II Standard
B1320,Driver Door Ajar Circuit Open,Body,OBD-II Standard
B1321,Driver Door Aja r Circuit Short To Battery,Body,OBD-II Standard
B1322,Driver Door Ajar Circuit Short To Ground,Body,OBD-II Standard
B1323,Door Ajar Lamp Circuit Failure,Body,OBD-II Standard
B1324,Door Ajar Lamp Circuit Open,Body,OBD-II Standard
B1325,Door Ajar Lamp Circuit Short To Battery,Body,OBD-II Standard
B1326,Door Ajar Lamp Circuit Short To Ground,Body,OBD-II Standard
B1327,Passenger Door Ajar Circuit Failure,Body,OBD-II Standard
B1328,Passenger Door Ajar Circuit Open,Body,OBD-II Standard
B1329,Passenger Door Ajar Circuit Short To Battery,Body,OBD-II Standard
B1330,Passenger Door Ajar Circuit Short To Ground,Body,OBD-II Standard
B1331,Decklid Ajar Rear Door Circuit Failure,Body,OBD-II Standard
B1332,Decklid Aj ar Rear Door Circuit Open,Body,OBD-II Standard
B1333,Decklid Ajar Rear Door Circuit Short To Battery,Body,OBD-II Standard
B1334,Decklid Ajar Rear Door Circuit Short To Ground,Body,OBD-II Standard
B1335,Door Ajar RR Circuit Failure,Body,OBD-II Standard
B1336,Door Ajar RR Circuit Open,Body,OBD-II Standard
B1337,Door Ajar RR Circuit Short To Batte ry,Body,OBD-II Standard
B1338,Door Ajar RR Circuit Short To Ground,Body,OBD-II Standard
B1339,Chime Input Request Circuit Short To Battery,Body,OBD-II Standard
B1340,Chime Input Request Circuit Short To Ground,Body,OBD-II Standard
B1341,Power Door Unlock Circuit Short To Ground,Body,OBD-II Standard
B1342,ECU Is Defective,Body,OBD-II Standard
B1343,Heated Backlit e Input Circuit Failure,Body,OBD-II Standard
B1344,Heated Backlite Input Circuit Open,Body,OBD-II Standard
B1345,Heated Backlite Input Circuit Short To Ground,Body,OBD-II Standard
B1346,Heated Backlite Input Circuit Short To Battery,Body,OBD-II Standard
B1347,Heated Backlite Relay Circuit Failure,Body,OBD-II Standard
B1348,Heated Backlite Relay Circuit Open,Body,OBD-II Standard
B1349,Heated Backlite Relay Short To Battery,Body,OBD-II Standard
B1350,Heated Backlite Relay Short To Ground,Body,OBD-II Standard
B1351,Ignition Key -In Circuit Short To Battery,Body,OBD-II Standard
B1352,Ignition Key -In Circuit Failure,Body,OBD-II Standard
B1353,Ignition Key -In Circuit Open,Body,OBD-II Standard
B1354,Ignition Key-In Circuit Short To Ground,Body,OBD-II Standard
B1355,Ignition Run Circuit Failure,Body,OBD-II Standard
B1356,Ignition Run Circuit Open,Body,OBD-II Standard
B1357,Ignition Run Circuit Short To Battery,Body,OBD-II Standard
B1358,Ignition Run Circuit Short To Ground,Body,OBD-II Standard
B1359,Ignition Run/Acc Circuit Failure,Body,OBD-II Standard
B1360,Ignition Run/Acc Circuit Open,Body,OBD-II Standard
B1361,Ignition Run/Acc Circuit Short To Battery,Body,OBD-II Standard
B1362,Ignition Run/Acc Circuit Short To Ground,Body,OBD-II Standard
B1363,Ignition Start Circuit Failure,Body,OBD-II Standard
B1364,Ignition Start Circuit Open,Body,OBD-II Standard
B1365,Ignition Start Circuit Short To Battery,Body,OBD-II Standard
B1366,Ignition Start Circuit Short To Ground,Body,OBD-II Standard
B1367,Ignition Tach Circuit Failure,Body,OBD-II Standard
B1368,Ignition Tach Circuit Open,Body,OBD-II Standard
B1369,Ignition Tach Circuit Short To Battery,Body,OBD-II Standard
B1370,Ignition Tach Circuit Short To Ground,Body,OBD-II Standard
B1371,Illuminated Entry Relay Circuit Fail ure,Body,OBD-II Standard
B1372,Illuminated Entry Relay Circuit Open,Body,OBD-II Standard
B1373,Illuminated Entry Relay Short To Battery,Body,OBD-II Standard
B1374,Illuminated Entry Relay Short To Ground,Body,OBD-II Standard
B1375,Oil Change Lamp Circuit Open,Body,OBD-II Standard
B1376,Oil Change Lamp Circuit Short To Battery,Body,OBD-II Standard
B1377,Oil Change Lamp Circuit Failure,Body,OBD-II Standard
B1378,Oil Change Lamp Circuit Short To Ground,Body,OBD-II Standard
B1379,Oil Change Reset Button Circuit Short To Ground,Body,OBD-II Standard
B1380,Oil Change Reset Button Circuit Failure,Body,OBD-II Standard
B1381,Oil Change Reset Button Circuit Open,Body,OBD-II Standard
B1382,Oil Change Reset Button Circuit Short To Battery,Body,OBD-II Standard
B1383,Oil Level Lamp Circuit Short To Battery,Body,OBD-II Standard
B1384,Oil Level Lamp Circuit Failure,Body,OBD-II Standard
B1385,Oil Level Lamp Circuit Open,Body,OBD-II Standard
B1386,Oil Level Lamp Circuit Short To Ground,Body,OBD-II Standard
B1387,Oil Temperature Sensor Circuit Open,Body,OBD-II Standard
B1388,OilTemperature Sensor Circuit Short To Battery,Body,OBD-II Standard
B1389,Oil Temperature Sensor Circuit Failure,Body,OBD-II Standard
B1390,Oil Temperature Sensor Circuit Short To Ground,Body,OBD-II Standard
B1391,Oil Level Switch Circuit Failure,Body,OBD-II Standard
B1392,Power Door Memory Lock Relay Circuit Failure,Body,OBD-II Standard
B1393,Power Door Memory Lock Relay Circuit Open,Body,OBD-II Standard
B1394,Power Door Memory Lock Relay Circuit Short To Battery,Body,OBD-II Standard
B1395,Power Door Memory Lock Relay Circuit Short To Ground,Body,OBD-II Standard
B1396,Power Door Lock Circuit Short To Battery,Body,OBD-II Standard
B1397,Power Door Unlock Circuit Short To Battery,Body,OBD-II Standard
B1398,Driver Power Window One Touch Window Relay Circuit Failure,Body,OBD-II Standard
B1399,Driver Power Window One Touch Window Relay Circuit Open,Body,OBD-II Standard
B1400,Driver Power Window One Touch Window Relay Circuit Short,Body,OBD-II Standard
B1401,Driver Power Window One To uch Window Relay Circuit Short,Body,OBD-II Standard
B1402,Driver Power Window Down Switch Circuit Failure,Body,OBD-II Standard
B1403,Driver Power Window Up Switch Circuit Failure,Body,OBD-II Standard
B1404,Driver Power Window Down Circuit Open,Body,OBD-II Standard
B1405,Driver Power Window Down Circuit Short To Batte ry,Body,OBD-II Standard
B1406,Driver Power Window Down Circuit Short To Ground,Body,OBD-II Standard
B1407,Driver Power Window Up Circuit Open,Body,OBD-II Standard
B1408,Driver Power Window Up Circuit Short To Battery,Body,OBD-II Standard
B1409,Driver Power Window Up Circuit Short To Ground,Body,OBD-II Standard
B1410,Driver Power Window Motor Ci rcuit Failure,Body,OBD-II Standard
B1411,Driver Power Window Motor Circuit Open,Body,OBD-II Standard
B1412,Driver Power Window Motor Circuit Short To Battery,Body,OBD-II Standard
B1413,Driver Power Window Motor Circuit Short To Ground,Body,OBD-II Standard
B1414,Power Window LR Motor Circuit Failure,Body,OBD-II Standard
B1415,Power Window LR Mot or Circuit Open,Body,OBD-II Standard
B1416,Power Window LR Motor Circuit Short To Battery,Body,OBD-II Standard
B1417,Power Window LR Motor Circuit Short To Ground,Body,OBD-II Standard
B1418,Passenger Power Window Motor Circuit Failure,Body,OBD-II Standard
B1419,Passenger Power Window Motor Circuit Open,Body,OBD-II Standard
B1420,Passenger Power Window Motor Circuit Short To Battery,Body,OBD-II Standard
B1421,Passenger Power Window Motor Circuit Short To Ground,Body,OBD-II Standard
B1422,Power Window RR Motor Circuit Failure,Body,OBD-II Standard
B1423,Power Window RR Motor Circuit Open,Body,OBD-II Standard
B1424,Power Window RR Motor Circuit Short To Battery,Body,OBD-II Standard
B1425,Power Window RR Motor Circuit Short To Ground,Body,OBD-II Standard
B1426,Lamp Seat Belt Circuit Short To Battery,Body,OBD-II Standard
B1427,Lamp Seat Belt Circuit Open,Body,OBD-II Standard
B1428,Lamp Seat Belt Circuit Failure,Body,OBD-II Standard
B1429,Lamp Seat Belt Circuit Short To Ground,Body,OBD-II Standard
B1430,Seat Belt Switch Circuit S hort To Ground,Body,OBD-II Standard
B1431,Wiper Brake/Run Relay Circuit Failure,Body,OBD-II Standard
B1432,Wiper Brake/Run Relay Circuit Short To Battery,Body,OBD-II Standard
B1433,Wiper Brake/Run Relay Circuit Short To Ground,Body,OBD-II Standard
B1434,Wiper Hi/Low Speed Relay Coil Circuit Failure,Body,OBD-II Standard
B1435,Wiper Hi/Low Speed Relay Coil Circuit Open,Body,OBD-II Standard
B1436,Wiper Hi/Low Speed Relay Coil Circuit Short To Battery,Body,OBD-II Standard
B1437,Wiper Hi/Low Speed Relay Coil Circuit Short To Ground,Body,OBD-II Standard
B1438,Wiper Mode Select Switch Circuit Failure,Body,OBD-II Standard
B1439,Wiper Mode Select Switch Circuit Open,Body,OBD-II Standard
B1440,Wiper Mode Select Switch Circuit Short To Battery,Body,OBD-II Standard
B1441,Wiper Mode Select Switch Circuit Short To Ground,Body,OBD-II Standard
B1442,Door Handle Switch Circuit Failure,Body,OBD-II Standard
B1443,Door Handle Switch Circuit Open,Body,OBD-II Standard
B1444,Door Handle Switch Circuit Short To Battery,Body,OBD-II Standard
B1445,Door Handle Switch Circuit Short To Ground,Body,OBD-II Standard
B1446,Wiper Park Sense Circuit Failure,Body,OBD-II Standard
B1447,Wiper Park Sense Circuit Open,Body,OBD-II Standard
B1448,Wiper Park Sense Circuit Short To Battery,Body,OBD-II Standard
B1449,Wiper Park Sense Circuit Short To Ground,Body,OBD-II Standard
B1450,Wiper Wash/Delay Switc h Circuit Failure,Body,OBD-II Standard
B1451,Wiper Wash/Delay Switch Circuit Open,Body,OBD-II Standard
B1452,Wiper Wash/Delay Switch Circuit Short To Battery,Body,OBD-II Standard
B1453,Wiper Wash/Delay Switch Circuit Short To Ground,Body,OBD-II Standard
B1454,Wiper Washer Fluid Lamp Circuit Failure,Body,OBD-II Standard
B1455,Wiper Washer Fluid Lamp Circuit Open,Body,OBD-II Standard
B1456,Wiper Washer Fluid Lamp Circuit Short To Battery,Body,OBD-II Standard
B1457,Wiper Washer Fluid Lamp Circuit Short To Ground,Body,OBD-II Standard
B1458,Wiper Washer Pump Motor Relay Circuit Failure,Body,OBD-II Standard
B1459,Wiper Washer Pump Motor Relay Coil Circuit Open,Body,OBD-II Standard
B1460,Wiper Washer Pump Motor Relay Coil Circuit Short To Battery,Body,OBD-II Standard
B1461,Wiper Washer Pump Motor Relay Coil Circuit Short To Ground,Body,OBD-II Standard
B1462,Seat Belt Switch Circuit Failure,Body,OBD-II Standard
B1463,Seat Belt Switch Circuit Open,Body,OBD-II Standard
B1464,Seat Belt Switch Circuit Short To Batter y,Body,OBD-II Standard
B1465,Wiper Brake/Run Relay Circuit Open,Body,OBD-II Standard
B1466,Wiper Hi/Low Speed Not Switching,Body,OBD-II Standard
B1467,Wiper Hi/Low Speed Circuit Motor Short To Battery,Body,OBD-II Standard
B1468,Chime Input Request Circuit Failure,Body,OBD-II Standard
B1469,Chime Input Request Circuit Open,Body,OBD-II Standard
B1470,Lamp Headlamp Input Circuit Failure,Body,OBD-II Standard
B1471,Lamp Headlamp Input Circuit Open,Body,OBD-II Standard
B1472,Lamp Headlamp Input Circuit Short To Ground,Body,OBD-II Standard
B1473,Wiper Low Speed Circuit Motor Failure,Body,OBD-II Standard
B1474,Battery Saver Power Relay Circuit Short To Battery,Body,OBD-II Standard
B1475,Accessory Delay Relay Contact Short To Battery,Body,OBD-II Standard
B1476,Wiper High Speed Circuit Motor Failure,Body,OBD-II Standard
B1477,Wiper Hi/Low Circuit Motor Short To Ground,Body,OBD-II Standard
B1478,Power Window One Touch Up/Down Activated Simultaneously,Body,OBD-II Standard
B1479,Wiper Washer Fluid Level Sensor Circuit Failure,Body,OBD-II Standard
B1480,Wiper Washer Fluid Level Sensor Circuit Open,Body,OBD-II Standard
B1481,Wiper Washer Fluid Level Sensor Circuit Short To Battery,Body,OBD-II Standard
B1482,Wiper Washer Fluid Level Sensor Circuit Short To Ground,Body,OBD-II Standard
B1483,Brake Pedal Input Circuit Failure,Body,OBD-II Standard
B1484,Brake Pedal Input Open Circu it,Body,OBD-II Standard
B1485,Brake Pedal Input Circuit Battery Short,Body,OBD-II Standard
B1486,Brake Pedal Input Circuit Ground Short,Body,OBD-II Standard
B1487,Door Handle Right Front Circuit Failure,Body,OBD-II Standard
B1488,Door Handle Right Front Circuit Open,Body,OBD-II Standard
B1489,Door Handle Right Front Short To Battery,Body,OBD-II Standard
B1490,Door Handle Right Front Short To Ground,Body,OBD-II Standard
B1491,Ignition Cylinder Sensor Circuit Failure,Body,OBD-II Standard
B1492,Ignition Cylinder Sensor Open Circuit,Body,OBD-II Standard
B1493,Ignition Cylinder Sensor Battery Short,Body,OBD-II Standard
B1494,Ignition Cylinder Sensor Ground Short,Body,OBD-II Standard
B1495,Decklid Punch -OutSensor Circuit Failure,Body,OBD-II Standard
B1496,Decklid Punch -Out Sensor Open Circuit,Body,OBD-II Standard
B1497,Decklid Punch -Out Sensor Battery Short,Body,OBD-II Standard
B1498,Decklid Punch -Out Sensor Ground Short,Body,OBD-II Standard
B1499,Lamp Turn Signal Left Circuit Failure,Body,OBD-II Standard
B1500,Lamp Turn Signal Left Circuit Open,Body,OBD-II Standard
B1501,Lamp Turn Signal Left Circuit Short To Battery,Body,OBD-II Standard
B1502,Lamp Turn Signal Left Circuit Short To Ground,Body,OBD-II Standard
B1503,Lamp Turn Signal Right Circuit Failure,Body,OBD-II Standard
B1504,Lamp Turn Signal Right Circuit Open,Body,OBD-II Standard
B1505,Lamp Turn Signal Right Circuit Short To Ba ttery,Body,OBD-II Standard
B1506,Lamp Turn Signal Right Circuit Short To Ground,Body,OBD-II Standard
B1507,Flash To Pass Switch Circuit Failure,Body,OBD-II Standard
B1508,Flash To Pass Switch Circuit Open,Body,OBD-II Standard
B1509,Flash To Pass Switch Circuit Short To Battery,Body,OBD-II Standard
B1510,Flash To Pass Switch Circuit Short To Gro und,Body,OBD-II Standard
B1511,Driver Door Handle Circuit Failure,Body,OBD-II Standard
B1512,Driver Door Handle Circuit Open,Body,OBD-II Standard
B1513,Driver Door Handle Circuit Short To Battery,Body,OBD-II Standard
B1514,Driver Door Handle Circuit Short To Ground,Body,OBD-II Standard
B1515,Seat Driver Occupied Switch Circuit Failure,Body,OBD-II Standard
B1516,Seat Driver Occupied Switch Circuit Open,Body,OBD-II Standard
B1517,Seat Driver Occupied Switch Circuit Short To Battery,Body,OBD-II Standard
B1518,Seat Driver Occupied Switch Circuit Short To Ground,Body,OBD-II Standard
B1519,Hood Switch Circuit Failure,Body,OBD-II Standard
B1520,Hood Switch Circuit Open,Body,OBD-II Standard
B1521,Hood Switch Circuit Short To Battery,Body,OBD-II Standard
B1522,Hood Switch Circuit Short To Ground,Body,OBD-II Standard
B1523,Keyless Entry Circuit Failure,Body,OBD-II Standard
B1524,Keyless Entry Circuit Open,Body,OBD-II Standard
B1525,Keyless Entry Circuit Short To Battery,Body,OBD-II Standard
B1526,Keyless Entry Circuit Short To Ground,Body,OBD-II Standard
B1527,Memory Set Switch Circuit Failure,Body,OBD-II Standard
B1528,Memory Set Switch Circuit Open,Body,OBD-II Standard
B1529,Memory Set Switch Circuit Short To Battery,Body,OBD-II Standard
B1530,Memory Set Switch Circuit Short To Ground,Body,OBD-II Standard
B1531,Memory 1 Switch Circuit Failure,Body,OBD-II Standard
B1532,Memory 1 Switch Circuit Open,Body,OBD-II Standard
B1533,Memory 1 Switch Circuit Short To Battery,Body,OBD-II Standard
B1534,Memory 1 Switch Circuit Short To Ground,Body,OBD-II Standard
B1535,Memory 2 Switch Circuit Failure,Body,OBD-II Standard
B1536,Memory 2 Switch Circuit Open,Body,OBD-II Standard
B1537,Memory 2 Switch Circuit Short To Battery,Body,OBD-II Standard
B1538,Memory 2 Switch Circuit Sh ort To Ground,Body,OBD-II Standard
B1539,Mirror Driver Switch Assembly Circuit Failure,Body,OBD-II Standard
B1540,Mirror Driver Switch Assembly Circuit Open,Body,OBD-II Standard
B1541,Mirror Driver Switch Assembly Circuit Short To Battery,Body,OBD-II Standard
B1542,Mirror Driver Switch Assembly Circuit Short To Ground,Body,OBD-II Standard
B1543,Seat Direction Switch Assembly Circuit Failure,Body,OBD-II Standard
B1544,Seat Direction Switch Assembly Circuit Open,Body,OBD-II Standard
B1545,Seat Direction Switch Assembly Circuit Short To Battery,Body,OBD-II Standard
B1546,Seat Direction Switch Assembly Circuit Short To Ground,Body,OBD-II Standard
B1547,Power Window Mast er Circuit Failure,Body,OBD-II Standard
B1548,Power Window Master Circuit Open,Body,OBD-II Standard
B1549,Power Window Master Circuit Short To Battery,Body,OBD-II Standard
B1550,Power Window Master Circuit Short To Ground,Body,OBD-II Standard
B1551,Decklid Release Circuit Failure,Body,OBD-II Standard
B1552,Decklid Release Circuit Open,Body,OBD-II Standard
B1553,Decklid Release Circuit Short To Battery,Body,OBD-II Standard
B1554,Decklid Release Circuit Short To Ground,Body,OBD-II Standard
B1555,Ignition Run/Start Circuit Failure,Body,OBD-II Standard
B1556,Ignition Run/Start Circuit Open,Body,OBD-II Standard
B1557,Ignition Run/Start Circuit Short To Battery,Body,OBD-II Standard
B1558,Ignition Run/Start Circuit Short To Ground,Body,OBD-II Standard
B1559,Door Lock Cylinder Circuit Failure,Body,OBD-II Standard
B1560,Door Lock Cylinder Circuit Open,Body,OBD-II Standard
B1561,Door Lock Cylinder Circuit Short To Battery,Body,OBD-II Standard
B1562,Door Lock Cylinder Circuit Short To Ground,Body,OBD-II Standard
B1563,Door Ajar Circuit Failure,Body,OBD-II Standard
B1564,Door Ajar Circuit Open,Body,OBD-II Standard
B1565,Door Ajar Circuit Short To Battery,Body,OBD-II Standard
B1566,Door Ajar Circuit Short To Ground,Body,OBD-II Standard
B1567,Lamp Headlamp High -Beam Circuit Failure,Body,OBD-II Standard
B1568,Lamp Headlamp High -Beam Circuit Open,Body,OBD-II Standard
B1569,Lamp Headlamp High -Beam Circuit Short To Battery,Body,OBD-II Standard
B1570,Lamp Headlamp High -Beam Circuit Short To Ground,Body,OBD-II Standard
B1571,Door Ajar LR Circuit Failure,Body,OBD-II Standard
B1572,Door Ajar LR Circuit Open,Body,OBD-II Standard
B1573,Door Ajar LR Circuit Short To Battery,Body,OBD-II Standard
B1574,Door Ajar LR Circuit Short To Ground,Body,OBD-II Standard
B1575,Lamp Park Input Circuit Failure,Body,OBD-II Standard
B1576,Lamp Park Input Circuit Open,Body,OBD-II Standard
B1577,Lamp Park Input Circuit Short To Battery,Body,OBD-II Standard
B1578,Lamp Park Input Circuit Short To Ground,Body,OBD-II Standard
B1579,Dim Panel Increase Input Circuit Failure,Body,OBD-II Standard
B1580,Dim Panel Increase Input Circuit Open,Body,OBD-II Standard
B1581,Dim Panel Increase Input Circuit Short To Battery,Body,OBD-II Standard
B1582,Dim Panel Increase Input Circuit Short To Ground,Body,OBD-II Standard
B1583,Dim Panel Decrease Input Circuit Failure,Body,OBD-II Standard
B1584,Dim Panel Decrease Input Circuit Open,Body,OBD-II Standard
B1585,Dim Panel Decrease Input Circuit Short To Battery,Body,OBD-II Standard
B1586,Dim Panel Decrease Input Circuit Short To Ground,Body,OBD-II Standard
B1587,Autolamp Delay Increase Circuit Failure,Body,OBD-II Standard
B1588,Autolamp Delay Increase Circuit Open,Body,OBD-II Standard
B1589,Autolamp Delay Increase Circuit Short To Battery,Body,OBD-II Standard
B1590,Autolamp Delay Increase Circuit Short To Ground,Body,OBD-II Standard
